137,9,1,libFilesAndDirectories_CXX.so.1,9,1,1
138,3,1,open_card,3,1,1
139,2,1,libicui18n.so,2,1,2
140,104,1,automount,104,1,4
141,2,1,httpd,2,1,2
142,85,1,audio.a2dp.default.so,85,1,24
143,28,7,sbmacouid,4,1,12
144,39,1,lib-imsdpl.so,39,1,13
145,17,1,libipv6.so,17,1,7
146,1,1,nanocom,1,1,1
147,17,3,ranbits,15,2,8
148,1,1,wimaxdbg.ko,1,1,1
149,11,2,libortp.so.8.0.0,10,1,2
150,3,1,3w-9xxx.ko,3,1,2
151,1,1,iconv,1,1,1
152,80,2,libEGL_adreno.so,56,1,26
153,8,1,Telecom.odex,8,1,8
154,2,1,iod,2,1,1
155,135,2,libwhetstone_jni.so,83,1,33
156,20,2,rsh,10,1,2
157,3,1,hidmac.ko,3,1,1
158,5,1,res_indications.so,5,1,3
159,1,1,mount,1,1,1
160,2,1,motion_privacy.cgi,2,1,1
161,268,1,rc,268,1,111
162,12,1,libaah_rtp.so,12,1,5
163,1,1,control_center,1,1,1
164,5,1,ddns,5,1,1
165,25,1,libmpoencoder.so,25,1,5
166,8,1,xfs_logprint,8,1,5
167,1,1,ngr_upgrade,1,1,1
168,3,1,aacraid.ko,3,1,2
169,147,2,acos_nat.ko,100,1,147
170,2,1,algCfg.ko,2,1,1
171,1,1,libxt_LOGMARK.so,1,1,1
172,6,3,conf.cgi,2,1,6
173,7,1,dropbearkey,7,2,2
174,1,1,3C6358,1,1,1
175,4,1,gralloc.lc1860.so,4,1,1
176,69,1,libstdc++-0.2.2.so,69,3,7
177,3,1,_struct.cpython-34m.so,3,1,1
178,4,1,libsi.so,4,1,2
179,102,1,inetd,102,1,3
180,1,1,cwsysd,1,1,1
181,2,1,wifi2agps,2,1,1
182,19,1,audio.so,19,1,8
183,17,1,libem_lte_jni.so,17,1,6
184,1,1,cryptosoft.ko,1,1,1
185,3,1,stmmac.ko,3,1,2
186,1,1,dhrystone,1,1,1
187,82,1,pure-ftpd,82,4,23
188,83,1,awrRtc.elf,83,1,13
189,1177,48,kodak_dc3200.so,25,1,333
190,98,1,nls_base.ko,98,3,21
191,2,1,qt1010.ko,2,1,1
192,26,1,update_afp,26,1,9
193,6,1,VIAUSBModem.ko,6,1,2
194,127,2,libospf.so.0.0.0,112,2,25
195,7,1,libjni_delight.so,7,1,1
196,2,1,tmpmonitor,2,1,2
197,7,7,test_tuning,1,1,7
198,20,3,libxfs.so.0.0.0,8,2,7
199,1,1,libcfg.so,1,1,1
200,8,1,libpowerservice.so,8,1,2
201,25,1,usb_disk,25,1,3
202,4,1,cape,4,1,2
203,1,1,rclibrary.so,1,1,1
204,2,1,libvoSrcPD.so,2,1,2
205,2,1,uvc_stream,2,1,2
206,36,1,drws,36,1,12
207,4,1,pt.o,4,1,2
208,2,1,parse_sun.so,2,1,1
209,12,2,MiAssistant.odex,8,1,12
210,16,2,ag7240_mod.ko,11,2,16
211,3,1,libcrashreport.so,3,1,1
212,6,1,udhcpd_setting,6,1,1
213,25,1,cmagent,25,1,8
214,18,1,switch_utility,18,1,2
215,7,1,btrfs.ko,7,1,6
216,1,1,dbus-binding-tool,1,1,1
217,1,1,wpa_passphrase,1,1,1
218,1,1,mapqosd,1,1,1
219,3,1,libplayback_adreno200.so,3,1,1
220,613,26,rt2860v2_ap.ko,268,12,385
221,43,1,libwfdcommonutils.so,43,1,8
222,43,1,fm_qsoc_patches,43,1,6
223,6,1,apkg,6,1,5
224,3,1,libnvupdater_jni.so,3,1,1
225,4,1,GmsCore.odex,4,1,4
226,22,1,dmesg,22,1,1
227,1,1,mmp_cli,1,1,1
228,4,1,libpal_ali.so,4,1,1
229,22,1,flatfsd,22,1,4
230,2,1,cx24116.ko,2,1,1
231,18,1,baidu_init,18,1,7
232,7,1,libvadLib-v5.so,7,1,1
233,4,1,libdb-4.8.so,4,1,2
234,1,1,ip_nat_irc.ko,1,1,1
235,15,1,cpulimit,15,1,2
236,3,1,lpoptions,3,1,1
237,28,1,pktflow.ko,28,1,23
238,6,1,libexthid.so,6,1,3
239,19,1,login.cgi,19,1,13
240,88,4,libMtkOmxVorbisEnc.so,23,1,19
241,56,3,videodev.ko,54,4,8
242,11,2,fcntl.so,8,2,3
243,540,10,ums-datafab.ko,54,4,50
244,112,4,avahi-browse,43,2,87
245,13,1,libacc.so,13,1,5
246,1,1,cns3xxx_eth.ko,1,1,1
247,21,1,libaudiocompensationfilter.so,21,1,10
248,41,1,libmmcamera_interface.so,41,1,12
249,3,1,fealnx.ko,3,1,2
250,2,1,libvoMMCCRRS.so,2,1,1
251,7,1,libwt6hpprndrv.so,7,1,2
252,8,1,ApplicationsProvider.odex,8,1,8
253,16,4,rlm_eap_sim-2.2.7.so,13,1,11
254,3,1,libath.so,3,1,1
255,18,1,libjni_delight.so,18,1,1
256,4,1,libsf_dce2_preproc.so.0.0.0,4,1,2
257,14,1,timer,14,1,5
258,78,1,jffs2.ko,78,2,10
259,3,1,sd8797mlan.ko,3,1,3
260,36,1,libnmob_audiosdk.so,36,1,3
261,97,1,libharfbuzz_ng.so,97,1,20
262,1,1,uhci-hcd.ko,1,1,1
263,4,1,ice40-hcd.ko,4,1,4
264,119,3,mDNSResponderPosix,64,2,23
265,4,1,qlogd,4,1,1
266,9,1,libcld.so,9,1,2
267,4,1,libFidoCryptoJNI.so,4,1,2
268,5,1,sysparam,5,1,2
269,79,6,liblpr.so.0,36,1,26
270,1,1,libhsiab.so,1,1,1
271,1,1,liboamapi.so,1,1,1
272,79,1,libgps.utils.so,79,1,19
273,3,1,librmmp4core.so,3,1,1
274,175,1,wiviz,175,1,32
275,4,1,libgralloc_extra.so,4,1,2
276,7,1,akmd,7,1,3
277,340,12,libm-2.3.3.so,91,5,18
278,3,1,RescueStarter,3,1,2
279,6,1,tc3162_dmt.ko,6,1,2
280,4,1,AcdApiDaemon,4,1,1
281,27,1,uqmi,27,1,6
282,24,4,Music.odex,8,1,24
283,70,1,sr_mod.ko,70,2,19
284,1,1,libshared.so,1,1,1
285,2,1,libpphwr.so,2,1,1
286,43,1,libmmwfdsinkinterface.so,43,1,7
287,8,1,libardrv_dynamic.so,8,1,2
288,12,1,libcap.so.1.10,12,1,1
289,5,1,nameif,5,1,1
290,8,1,libmmstereo.so,8,1,2
291,1,1,udevmonitor,1,1,1
292,3,1,xxlimited.cpython-34m.so,3,1,1
293,2,1,mpq-dmx-hw-plugin.ko,2,1,1
294,100,1,mac80211.ko,100,1,34
295,1,1,tiffset,1,1,1
296,3,1,ip.dman,3,1,1
297,6,1,libpanashared.so,6,1,1
298,1,1,index.cgi,1,1,1
299,7,1,iptables-xml,7,2,3
300,57,4,keystore.qcom.so,39,1,12
301,9,2,AccessCntl.ko,8,1,4
302,83,1,pieman.elf,83,1,13
303,3,1,_testcapi.cpython-34m.so,3,1,1
304,11,1,dbtool,11,1,7
305,84,1,libstagefright_wfd.so,84,1,17
306,2,1,tda8083.ko,2,1,1
307,83,1,bm.ko,83,1,18
308,4,1,libcamera_awb.so,4,1,2
309,7,1,npd6,7,2,2
310,75,1,cgitest.cgi,75,2,69
311,40,4,ubicom_streamengine_classifier_user_rules.ko,10,1,8
312,6,1,FM.odex,6,1,6
313,19,1,ide-gd_mod.ko,19,1,2
314,215,1,libebt_mark.so,215,7,16
315,36,1,uams_dhx_pam.so,36,1,13
316,98,1,proftpd,98,5,78
317,2,1,rtldrv.ko,2,1,1
318,10,1,updatedd,10,2,3
319,5,1,keystore.tegra.so,5,1,2
320,1,1,ntlm_auth,1,1,1
321,1,1,rc,1,1,1
322,11,1,spidev.ko,11,2,10
323,69,1,mtr,69,1,11
324,22,1,libjgcastservice.so,22,1,6
325,1494,18,libNamespaceProvider.so.1,83,1,360
326,622,9,libixml.so.1.3.1,317,9,44
327,4,1,liblmirescue_v18.so,4,1,1
328,11,1,res_timing_timerfd.so,11,1,7
329,15,1,BGW,15,1,3
330,1,1,libupon.so,1,1,1
331,4,1,libbt-vendor.so,4,1,2
332,11,1,res_rtp_multicast.so,11,1,7
333,126,1,vold,126,1,49
334,4,1,speedtest,4,1,3
335,1,1,libAitalk.so,1,1,1
336,2,1,libeffects.elf4nmf,2,1,1
337,2,1,gpio,2,1,1
338,2,1,spuctl,2,1,1
339,2,1,libhcwifi.so,2,1,1
340,15,1,getsmaps,15,1,1
341,9,1,libSampleLocalizedProvider.so.1,9,1,1
342,6,1,sundance.o,6,1,1
343,2,1,tuning_server,2,1,1
344,1,1,hi3511_h264d.ko,1,1,1
345,4,1,mtd_crash_log,4,1,1
346,62,1,rings.so.1.1.0,62,1,5
347,60,1,libipt_POOL.so,60,4,5
348,43,1,libadiertac.so,43,1,6
349,4,1,libchecklistjni.so,4,1,1
350,5,2,libcrypto++.so.8.0.0,3,2,3
351,7,1,spook,7,1,3
352,22,2,skill,11,2,3
353,4,2,ADD0E2,2,1,1
354,6,1,monitor,6,1,1
355,1,1,hid.ko,1,1,1
356,12,1,com.qualcomm.location.vzw_library.odex,12,1,12
357,11,1,usbipd,11,1,7
358,9,1,rt_rdm.ko,9,1,1
359,53,2,libarmarm-none-linux-gnueabi-eapAuth.so,28,1,7
360,4,1,libmmcamera2_sensor_modules.so,4,1,2
361,18,1,libhwui.so,18,1,7
362,3,1,i2c-viapro.ko,3,1,2
